arm,track,seed,runaway,parade,swap,leadChanges,gap090
R95-ON,luger-hill,1,0,0,0,2,0.7074
R95-ON,luger-hill,2,0,0,0,1,2.3349
R95-ON,luger-hill,3,0,0,1,3,2.2599
R95-ON,luger-hill,4,0,0,0,0,0.3821
R95-ON,luger-hill,5,0,0,0,1,1.4963
R95-ON,luger-hill,6,0,0,0,2,1.1971
R95-ON,luger-hill,7,0,0,1,3,0.1373
R95-ON,luger-hill,8,1,0,0,1,4.0216
R95-ON,luger-hill,9,0,0,0,0,0.6631
R95-ON,luger-hill,10,1,0,0,0,4.9355
R95-ON,luger-hill,11,0,0,0,1,1.1998
R95-ON,luger-hill,12,0,0,0,0,2.6543
R95-ON,luger-hill,13,0,0,1,4,0.0587
R95-ON,luger-hill,14,0,0,1,3,0.0321
R95-ON,luger-hill,15,0,0,0,1,1.1386
R95-ON,luger-hill,16,0,0,0,2,2.822
R95-ON,luger-hill,17,0,0,1,3,2.0973
R95-ON,luger-hill,18,0,0,0,2,2.1611
R95-ON,luger-hill,19,0,0,0,3,1.6823
R95-ON,luger-hill,20,0,0,0,1,0.9206
R95-ON,luger-hill,21,0,0,0,1,1.933
R95-ON,luger-hill,22,0,0,1,2,0.6328
R95-ON,luger-hill,23,0,0,0,1,0.5233
R95-ON,luger-hill,24,0,0,1,1,3.1572
R95-ON,luger-hill,25,1,0,0,1,3.2848
R95-ON,luger-hill,26,1,0,0,2,5.1275
R95-ON,luger-hill,27,0,0,0,0,0.1985
R95-ON,luger-hill,28,0,0,1,2,0.5177
R95-ON,luger-hill,29,0,0,0,0,0.2689
R95-ON,luger-hill,30,0,0,0,4,1.2362
R95-ON,luger-hill,31,0,0,0,4,1.2258
R95-ON,luger-hill,32,0,0,1,3,0.2911
R95-ON,luger-hill,33,1,0,0,2,4.6906
R95-ON,luger-hill,34,0,0,0,0,0.5745
R95-ON,luger-hill,35,0,0,1,2,0.5821
R95-ON,luger-hill,36,0,0,1,2,0.8839
R95-ON,luger-hill,37,1,0,0,1,4.208
R95-ON,luger-hill,38,0,0,0,0,2.0582
R95-ON,luger-hill,39,0,0,0,4,1.6658
R95-ON,luger-hill,40,0,0,1,2,0.1279
R95-ON,luger-hill,41,0,0,1,2,0.5222
R95-ON,luger-hill,42,0,0,0,1,2.4107
R95-ON,luger-hill,43,0,0,0,2,1.8492
R95-ON,luger-hill,44,0,0,0,1,1.3373
R95-ON,luger-hill,45,0,0,0,4,3.2894
R95-ON,luger-hill,46,0,0,0,1,0.8792
R95-ON,luger-hill,47,1,0,0,0,3.3158
R95-ON,luger-hill,48,0,0,0,1,1.7237
R95-ON,luger-hill,49,0,0,0,2,1.6744
R95-ON,luger-hill,50,0,0,0,0,0.8075
R95-ON,luger-hill,51,0,0,0,0,1.0395
R95-ON,luger-hill,52,0,0,1,2,0.2327
R95-ON,luger-hill,53,0,0,1,1,1.0722
R95-ON,luger-hill,54,1,0,0,0,3.0015
R95-ON,luger-hill,55,0,0,1,2,0.5005
R95-ON,luger-hill,56,0,0,1,3,0.5298
R95-ON,luger-hill,57,0,0,1,1,1.2683
R95-ON,luger-hill,58,0,0,0,1,0.2808
R95-ON,luger-hill,59,0,0,0,3,0.0091
R95-ON,luger-hill,60,0,0,1,2,0.0966
R95-ON,luger-hill,61,0,0,0,1,2.1635
R95-ON,luger-hill,62,0,0,0,1,2.0507
R95-ON,luger-hill,63,0,0,1,1,0.5072
R95-ON,luger-hill,64,0,0,0,1,2.3195
R95-ON,luger-hill,65,0,0,0,2,2.3533
R95-ON,luger-hill,66,0,0,0,2,1.4817
R95-ON,luger-hill,67,0,0,0,3,1.4101
R95-ON,luger-hill,68,0,0,0,1,0.4854
R95-ON,luger-hill,69,0,0,1,1,3.2649
R95-ON,luger-hill,70,0,0,1,2,0.0544
R95-ON,luger-hill,71,0,0,0,1,0.6382
R95-ON,luger-hill,72,0,0,0,0,1.7497
R95-ON,luger-hill,73,0,0,0,0,0.2507
R95-ON,luger-hill,74,0,0,1,2,1.1279
R95-ON,luger-hill,75,0,0,0,0,0.3578
R95-ON,luger-hill,76,0,0,0,0,2.5867
R95-ON,luger-hill,77,0,0,0,1,0.9285
R95-ON,luger-hill,78,0,0,0,2,1.6263
R95-ON,luger-hill,79,0,0,0,3,0.3711
R95-ON,luger-hill,80,0,0,0,1,2.2086
R95-ON,luger-hill,81,0,0,1,2,3.1
R95-ON,luger-hill,82,0,0,0,1,1.1941
R95-ON,luger-hill,83,0,0,0,0,1.4435
R95-ON,luger-hill,84,0,0,0,1,1.9351
R95-ON,luger-hill,85,0,0,0,1,1.081
R95-ON,luger-hill,86,0,1,1,2,2.4383
R95-ON,luger-hill,87,0,0,0,1,0.4616
R95-ON,luger-hill,88,0,0,1,3,0.0679
R95-ON,luger-hill,89,0,0,0,0,2.5294
R95-ON,luger-hill,90,0,0,0,2,0.4834
R95-ON,luger-hill,91,0,0,0,2,3.2238
R95-ON,luger-hill,92,0,0,0,0,1.9916
R95-ON,luger-hill,93,1,0,0,0,3.4236
R95-ON,luger-hill,94,0,0,0,1,1.6057
R95-ON,luger-hill,95,0,0,0,1,1.3881
R95-ON,luger-hill,96,0,0,1,2,0.3704
R95-ON,luger-hill,97,0,0,0,0,0.6586
R95-ON,luger-hill,98,0,0,0,1,0.5496
R95-ON,luger-hill,99,0,0,0,3,1.588
R95-ON,luger-hill,100,0,0,0,2,0.6321
